AID,BIO_SEX,IMONTH,IDAY,IYEAR,H1GI1M,H1GI1Y,H1GI4,H1GI6A,H1GI6B,H1GI6C,H1GI6D,H1GI6E,H1GI8,H1GI9,H1NM4,H1NF4,H1RM1,H1RF1
57100270,2,6,23,95,10,77,0,0,1,0,0,0,7,2,97,12,8,8
57101310,2,5,5,95,11,76,0,0,1,0,0,0,7,2,7,1,1,7
57103171,1,6,27,95,10,79,0,1,0,0,0,0,7,1,97,97,4,2
57103869,1,7,14,95,1,77,0,0,1,0,0,0,7,2,97,97,2,97
57104553,2,7,14,95,6,76,0,0,1,0,0,0,7,2,97,4,4,97
57104649,1,6,12,95,12,81,0,0,1,0,0,0,7,2,97,97,9,4
57104676,1,5,31,95,10,83,0,0,1,0,0,0,7,2,97,97,98,98
57109625,1,6,7,95,3,81,0,1,0,0,0,0,7,1,97,1,1,97
57110897,1,6,27,95,9,81,0,0,1,0,0,0,7,2,97,4,4,97
57111071,1,8,3,95,6,81,0,1,0,0,0,0,7,1,97,8,8,97
57111786,1,9,7,95,9,80,0,0,1,0,0,0,7,2,97,97,4,97
57113943,1,5,20,95,1,79,0,0,1,0,0,0,7,2,97,4,7,97
57116359,1,6,24,95,4,80,0,1,0,0,0,0,7,1,97,97,4,6
57117542,1,7,11,95,9,79,0,1,0,0,0,0,7,1,97,97,5,97
57117997,2,5,20,95,10,82,0,0,1,0,0,0,7,2,97,97,7,97
57118381,2,5,6,95,10,82,0,1,0,0,0,0,7,1,97,97,8,4
57118943,2,7,19,95,4,79,0,1,0,0,0,0,7,1,97,97,9,8
57120005,1,5,25,95,9,82,0,1,0,0,0,0,7,1,97,97,8,8
57120046,1,8,20,95,10,76,1,0,0,0,0,1,7,5,1,1,97,97
57120371,2,7,20,95,8,76,0,1,0,0,0,0,7,1,97,97,4,4
57121404,2,6,8,95,7,79,0,1,0,0,0,0,7,1,97,97,9,9
57121476,2,5,20,95,10,80,1,0,0,0,0,1,7,5,97,4,4,97
57123494,2,7,21,95,2,78,0,1,0,0,0,0,7,1,97,2,4,97
57127241,2,8,15,95,1,82,0,0,0,0,1,0,7,4,97,97,2,2
57129567,1,7,26,95,2,81,0,0,1,0,0,0,7,2,97,4,8,97
57130633,1,8,26,95,10,81,0,1,0,0,0,0,7,1,97,97,7,97
57130838,1,6,3,95,3,80,0,0,1,0,0,1,5,2,97,97,98,97
57131432,1,6,3,95,1,79,1,1,0,0,0,0,7,1,97,97,1,1
57131909,1,4,27,95,7,81,0,1,0,0,0,0,7,1,97,4,4,97
57133772,2,7,19,95,2,82,0,1,0,0,0,0,7,1,97,97,4,7
57134457,2,7,18,95,4,80,0,1,0,0,0,0,7,1,97,97,8,7
57134967,2,7,5,95,2,82,0,0,1,0,0,0,7,2,97,11,98,97
57134970,2,5,9,95,4,80,0,0,1,0,0,0,7,2,97,4,2,97
57135078,2,6,5,95,8,80,0,1,0,0,0,0,7,1,4,97,97,4
57136630,2,5,16,95,5,80,0,0,0,0,1,0,7,4,97,97,8,4
57138056,1,7,14,95,10,81,0,1,0,0,0,0,7,1,97,97,12,7
57139880,1,6,19,95,10,81,0,1,0,0,0,0,7,1,97,97,9,9
