AID,H4ED2
57101310,3
57103869,2
57109625,2
57111071,6
57113943,6
57117542,1
57118381,6
57118943,12
57120005,7
57120046,6
57120371,3
57121404,9
57121476,3
57127241,6
57129567,4
57131432,6
57131909,5
57133772,5
57134457,6
57134967,2
57134970,2
57135078,1
57136630,6
57138056,6
57139880,7
57141051,7
57141800,5
57144659,3
57145151,7
57145731,3
57146734,13
57153160,3
57154249,6
57154779,2
57157723,6
57159779,6
57159952,11
57160648,4
57163116,2
57163657,7
57165081,3
57165288,3
57166019,2
57166463,6
57167951,6
57177419,6
57177942,4
57178110,6
57178982,3
57179591,6
57185559,6
57186150,7
57186582,6
57188247,6
57191909,3
57191910,3
57192841,10
57193349,3
57196641,7
57197327,2
57198440,6
57199896,6
57200870,6
57203993,3
57210612,3
57211375,10
57212347,2
57212679,7
57212861,3
57213037,6
57213527,6
57214806,6
57214893,7
57217465,5
57217613,2
57218874,7
57220133,2
57220692,3
57220955,9
57228523,6
57230663,6
57230940,7
57231300,7
57231320,6
57231603,9
57232895,9
57233403,3
57234514,2
57235039,6
57239363,6
57239974,6
57241075,6
57241170,3
57242812,3
57242885,6
57245293,2
57245315,6
57245379,7
57248884,6
57249576,6
57251197,5
57256290,4
57258682,3
57258751,6
57262270,6
57263513,2
57265490,6
57268298,2
57272130,3
57272274,2
57275298,3
57275660,6
57277289,6
57277290,9
57279640,6
88122937,7
88149345,6
88183732,2
88191219,2
88191364,6
88202138,4
88239382,3
88249047,6
88251811,3
88268811,6
90316053,5
90316656,8
90500059,9
90500459,3
90500516,3
90500638,3
90500914,6
90500974,6
90501955,7
90503807,7
90504005,6
90504104,7
90504142,6
90504220,3
90504248,6
90504280,6
90504500,9
90504504,7
90504603,6
90504786,6
90506040,8
90506094,4
90506203,6
90506236,9
90506268,6
90506372,9
90506397,6
90506428,6
90506472,4
90506725,6
90506828,5
90506849,3
90506987,6
90507350,6
90507957,3
90508033,9
90508165,6
90508325,5
90508577,8
90508969,6
90540850,3
90543102,5
90543104,6
90544989,7
90546223,6
90548078,6
90570023,5
90570051,6
90570180,6
90570184,6
90570190,6
90570220,6
90570222,6
90570280,5
90570282,8
90570373,6
90570388,3
90570412,6
90570531,6
90570582,8
90570626,3
90570628,1
90570655,6
90570697,7
90570725,5
90570778,6
90570820,2
90570892,6
90570992,7
90571004,3
90571069,3
90571074,2
90571103,4
90571107,6
90571208,6
90571210,6
90571214,4
90571217,6
90571276,2
90571315,7
90571401,6
90571402,3
90571418,7
90571461,6
90571462,3
90571472,5
90571805,6
90571816,9
90571861,7
90571907,7
90571913,6
90571914,2
90571971,5
90571979,3
90572007,9
90572049,3
90572070,4
90572147,1
90572169,7
90572172,9
90572177,7
90572192,3
90572198,7
90572209,3
90572213,6
90572221,6
90572228,6
90572265,7
90572268,5
90572269,5
90572280,2
90572282,5
90572283,7
90572285,5
90572293,4
90572303,7
90572323,6
90572341,6
90572384,7
90572393,7
90572397,8
90572448,2
90572469,7
90572667,7
90572862,2
90572864,6
90572900,11
90572909,7
90572920,6
90572925,2
90572940,5
90572974,7
90572983,5
90572984,3
90572991,3
90572998,7
90573011,3
90573013,3
90573117,6
90573194,6
90573212,6
90573217,6
90573409,4
90573491,3
90573618,6
90573818,1
90573819,2
90573940,3
90573941,3
90573945,3
90573946,6
90573954,7
90573956,8
90573959,7
90573992,7
90573994,3
90574133,3
90574145,6
90574197,3
90574204,7
90574205,9
90574307,9
90574335,6
90574392,3
90574415,2
90574489,6
90574494,3
90574499,4
90574503,6
90574538,2
90574742,7
90574744,2
90574805,9
90574817,6
90574835,2
90574884,4
90574890,6
90574918,5
90574935,6
90574992,5
90575005,5
90575111,7
90575118,6
90575126,5
90575131,7
90575158,6
90575167,6
90575205,6
90575207,6
90575210,7
90575229,6
90575231,3
90575243,6
90575250,2
90575257,7
90575263,7
90575266,7
90575288,3
90575333,7
90575354,10
90575378,8
90575465,6
90575521,4
90575623,6
90575834,8
90575836,7
90575871,7
90575873,9
90575919,7
90575931,8
90575942,7
90575943,13
90575944,7
90575946,6
90575948,7
90575950,11
90575975,11
90575978,9
90575982,3
90575991,4
90576057,7
90576104,3
90576117,3
90576119,6
90576142,6
90576148,7
90576245,6
90576248,7
90576285,9
90576336,7
90576412,6
90576445,6
90576481,6
90576485,6
90576522,7
90576531,9
90576687,6
90576754,6
90576758,2
90576759,3
90576811,7
90576837,7
90576844,7
90576919,6
90576925,6
90576928,6
90576941,7
90576942,3
90576948,5
90576964,8
90577063,4
90577065,2
90577114,6
90577119,3
90577161,7
90577167,7
90577224,7
90577227,13
90577229,10
90577255,6
90577256,5
90577259,6
90577260,2
90577267,3
90577322,7
90577326,13
90577411,6
90577516,6
90577712,3
90577782,7
90577817,11
90577852,7
90577920,7
90577928,6
90577929,12
90577964,7
90578004,6
90578006,9
90578025,9
90578044,6
90578076,3
90578105,3
90578112,7
90578113,2
90578198,6
90578203,3
90578217,6
90578260,3
90578288,3
90578302,6
90578304,6
90578310,6
90578363,3
90578380,3
90578404,2
90578461,3
90578487,5
90578496,3
90578587,6
90578618,8
90578620,7
90578661,3
90578805,6
90578806,6
90578813,9
90578846,7
90578873,7
90578880,6
90578901,3
90578912,3
90578923,5
90578927,5
90578981,3
90578985,7
90578986,6
90578988,6
90578999,9
90579230,6
90579233,3
90579270,6
90579272,6
90579296,6
90579944,6
90579965,3
90579966,7
90579967,6
90579973,3
90579978,6
90579985,5
90579990,3
90579992,9
90579993,4
90579997,6
90579999,6
90593900,7
90606920,13
90608879,13
90608976,7
90614371,3
90614876,8
90614978,6
90619260,7
90619265,6
90619360,6
90619464,7
90619961,3
90646128,7
90676028,6
90676053,12
90676157,6
90676321,6
90676627,6
90676725,2
90676953,7
90678178,7
90678378,6
90678671,8
90678978,3
90710051,6
90710085,2
90710194,7
90710218,2
90710297,3
90710316,3
90710319,7
90710386,5
90710483,3
90710874,6
90710935,7
90710993,6
90711360,6
90712140,6
90712211,8
90712216,9
90712290,2
90712348,2
90712914,2
90712942,7
90712997,2
90713391,9
90713507,3
90713702,5
90713909,6
90713930,7
90713998,10
90714016,3
90714018,2
90714022,7
90714025,5
90714081,3
90714098,3
90714212,3
90714232,5
90714237,2
90714245,3
90714311,3
90714328,6
90714918,6
90714942,2
90715191,3
90715198,6
90715266,7
90715294,6
90715353,3
90715983,3
90715987,6
90715988,6
90715993,6
90716050,6
90716064,4
90716091,6
90716151,6
90716154,7
90716290,6
90716332,3
90716352,4
90716390,2
90716951,9
90716952,6
90716969,9
90716973,9
90716975,7
90716976,6
90716978,10
90716979,7
90716990,2
90716994,6
90717150,7
90717158,7
90717362,5
90718010,6
90718024,7
90718081,6
90718089,7
90718112,10
90718113,6
90718115,7
90718147,6
90718178,7
90718183,9
90718207,7
90718225,7
90718268,6
90718273,7
90718280,7
90718285,6
90718287,2
90718303,3
90718305,9
90718306,9
90718311,3
90718394,2
90718398,6
90718822,6
90718940,6
90718981,4
90718989,1
90719275,6
90719278,3
90719930,9
90719934,2
90719937,7
90719939,7
90719972,3
91374970,13
91374975,6
91374976,2
91500014,6
91500186,7
91500226,3
91500238,6
91500373,4
91500411,8
91500833,5
91500870,6
91500977,9
91501350,7
91503239,7
91504088,6
91504104,6
91504224,6
91504291,5
91504485,8
91504686,6
91504702,7
91504703,7
91504929,7
91506146,7
91506147,4
91506235,6
91506304,10
91506305,6
91506330,3
91506392,6
91506396,6
91506443,7
91506487,6
91506680,6
91506727,6
91506773,7
91506790,3
91506894,3
91506902,6
91506935,3
91506946,7
91506955,8
91506993,7
91507010,13
91507116,7
91507316,7
91507851,8
91507919,7
91508025,7
91508026,3
91508122,6
91508123,7
91508169,5
91508381,6
91508387,6
91508439,3
91508522,6
91508526,3
91508665,2
91508766,3
91508836,8
91508862,2
91508873,6
91508948,3
91540058,7
91540130,6
91540453,6
91543707,4
91544201,10
91544202,4
91544302,9
91546074,7
91546574,4
91546924,7
91570095,6
91570110,2
91570181,7
91570187,3
91570210,3
91570232,2
91570291,3
91570395,3
91570425,6
91570428,3
91570497,6
91570523,2
91570524,2
91570525,4
91570528,2
91570593,3
91570597,7
91570614,7
91570621,9
91570692,7
91570817,3
91570823,3
91570829,3
91570921,3
91570928,6
91570986,2
91570993,3
91570997,7
91571013,2
91571014,3
91571074,6
91571116,6
91571155,7
91571214,3
91571218,6
91571310,9
91571467,6
91571505,3
91571560,7
91571601,7
91571605,6
91571610,4
91571677,7
91571703,6
91571706,6
91571707,6
91571756,9
91571807,6
91571812,7
91571817,7
91571857,10
91571876,7
91572001,7
91572040,3
91572063,9
91572076,6
91572117,3
91572122,6
91572128,6
91572129,2
91572145,6
91572183,5
91572185,6
91572190,3
91572195,8
91572204,6
91572214,3
91572221,6
91572222,3
91572282,9
91572283,5
91572288,5
91572289,7
91572297,7
91572321,3
91572328,9
91572346,2
91572369,9
91572373,3
91572381,9
91572385,7
91572387,6
91572389,7
91572396,7
91572408,6
91572442,6
91572462,3
91572471,6
91572900,6
91572918,6
91572921,6
91572964,6
91572981,4
91572989,6
91572999,7
91573010,6
91573016,6
91573017,2
91573031,7
91573099,6
91573234,13
91573248,5
91573253,3
91573254,6
91573259,6
91573291,6
91573310,2
91573323,98
91573334,13
91573410,8
91573414,7
91573417,6
91573419,6
91573516,6
91573708,9
91573811,6
91573902,6
91573940,3
91573944,6
91573948,5
91573951,7
91573955,9
91573956,7
91573958,7
91574118,7
91574121,2
91574143,11
91574231,6
91574308,13
91574337,5
91574399,10
91574403,9
91574430,2
91574504,7
91574594,2
91574604,6
91574632,7
91574688,7
91574694,3
91574696,2
91574796,6
91574811,2
91574916,5
91574923,6
91574993,6
91575060,6
91575065,7
91575076,7
91575077,7
91575083,3
91575085,4
91575094,4
91575099,6
91575102,7
91575127,5
91575151,6
91575162,5
91575180,3
91575191,7
91575194,13
91575205,6
91575216,7
91575217,6
91575235,7
91575239,5
91575240,9
91575246,6
91575249,6
91575261,6
91575280,5
91575282,6
91575296,6
91575302,3
91575307,7
91575317,9
91575358,6
91575361,6
91575365,2
91575370,7
91575387,6
91575391,2
91575432,9
91575477,7
91575522,6
91575523,6
91575602,7
91575604,6
91575626,6
91575628,3
91575726,3
91575839,10
91575911,6
91575916,6
91575930,6
91575931,8
91575940,8
91575943,4
91575948,6
91575949,6
91575956,10
91575961,9
91575966,6
91575992,7
91576088,13
91576114,6
91576129,6
91576138,6
91576154,3
91576163,7
91576219,6
91576243,7
91576270,6
91576274,9
91576300,5
91576363,4
91576460,6
91576509,6
91576537,3
91576556,7
91576561,7
91576566,7
91576576,4
91576611,3
91576651,8
91576674,6
91576748,3
91576757,6
91576765,6
91576910,6
91576919,6
91576934,5
91577121,7
91577126,9
91577183,13
91577221,12
91577227,13
91577256,6
91577268,7
91577311,6
91577313,7
91577319,3
91577414,7
91577557,3
91577588,6
91577589,2
91577613,9
91577786,3
91577922,7
91577923,8
91577962,6
91578026,3
91578027,7
91578060,6
91578074,6
91578087,3
91578089,7
91578107,4
91578108,4
91578116,9
91578165,6
91578193,3
91578197,6
91578213,3
91578267,6
91578268,9
91578287,6
91578297,4
91578314,6
91578315,6
91578318,6
91578446,7
91578491,6
91578495,6
91578510,4
91578526,7
91578538,4
91578540,6
91578584,7
91578587,12
91578605,3
91578740,5
91578747,3
91578801,6
91578863,6
91578892,3
91578898,5
91578917,8
91578999,6
91579175,3
91579230,3
91579234,3
91579237,9
91579241,2
91579242,11
91579243,6
91579245,5
91579246,6
91579258,3
91579272,6
91579296,6
91579335,2
91579339,6
91579932,8
91579936,9
91579939,7
91579942,6
91579946,2
91579962,3
91579964,3
91579967,5
91579980,3
91579987,7
91579992,3
91579993,6
91579994,6
91579995,6
91579997,3
91608077,6
91608475,7
91608476,6
91614079,7
91614578,10
91614772,9
91614777,4
91614874,6
91614974,5
91614978,6
91619061,3
91619063,9
91619064,9
91619169,6
91619268,6
91619467,8
91619660,7
91619665,13
91619862,7
91624978,6
91646122,10
91646126,6
91676253,7
91676357,9
91676522,6
91676652,11
91676958,3
91678173,7
91678373,6
91678572,7
91678674,8
91710018,8
91710037,6
91710130,7
91710173,6
91710183,6
91710214,6
91710232,2
91710252,3
91710287,3
91710293,5
91710339,6
91710454,4
91710655,6
91710852,3
91710915,7
91710973,3
91710996,6
91710998,3
91711065,3
91711167,8
91711277,3
91711476,3
91711865,7
91712211,5
91712217,5
91712273,6
91712274,8
91712298,6
91712314,2
91712371,2
91712372,3
91712375,3
91712378,3
91712842,4
91712901,6
91712902,5
91712905,2
91712908,6
91712909,6
91712918,3
91712946,6
91712998,6
91713006,6
91713031,3
91713039,3
91713106,6
91713190,6
91713298,3
91713604,7
91713997,3
